time,variable,value,sample
0h,p006_DEET,19.361599999999999,active_enzyme
3h,p006_DEET,22.516400000000001,active_enzyme
5h,p006_DEET,21.4861,active_enzyme
24h,p006_DEET,22.030899999999999,active_enzyme
48h,p006_DEET,22.172000000000001,active_enzyme
0h,p006_3MB,0,active_enzyme
3h,p006_3MB,0,active_enzyme
5h,p006_3MB,0,active_enzyme
24h,p006_3MB,0,active_enzyme
48h,p006_3MB,0,active_enzyme
0h,p006_MB,14.1471,active_enzyme
3h,p006_MB,13.4824,active_enzyme
5h,p006_MB,9.8161000000000005,active_enzyme
24h,p006_MB,2.1718999999999999,active_enzyme
48h,p006_MB,0,active_enzyme
0h,p006_B,0,active_enzyme
3h,p006_B,1.8801000000000001,active_enzyme
5h,p006_B,2.6495000000000002,active_enzyme
24h,p006_B,10.180899999999999,active_enzyme
48h,p006_B,16.259499999999999,active_enzyme
0h,DH_DEET,18.9255,active_enzyme
3h,DH_DEET,0,active_enzyme
5h,DH_DEET,0,active_enzyme
24h,DH_DEET,0,active_enzyme
48h,DH_DEET,0,active_enzyme
0h,DH_3MB,0,active_enzyme
3h,DH_3MB,18.412299999999998,active_enzyme
5h,DH_3MB,19.757999999999999,active_enzyme
24h,DH_3MB,20.936199999999999,active_enzyme
48h,DH_3MB,17.3809,active_enzyme
0h,DH_MB,10.3995,active_enzyme
3h,DH_MB,0,active_enzyme
5h,DH_MB,0,active_enzyme
24h,DH_MB,0,active_enzyme
48h,DH_MB,0,active_enzyme
0h,DH_B,0,active_enzyme
3h,DH_B,12.443300000000001,active_enzyme
5h,DH_B,16.456700000000001,active_enzyme
24h,DH_B,20.015699999999999,active_enzyme
48h,DH_B,16.889800000000001,active_enzyme
0h,DH_DEET,20.743400000000001,boiled_enzyme
3h,DH_DEET,23.186599999999999,boiled_enzyme
5h,DH_DEET,23.207699999999999,boiled_enzyme
24h,DH_DEET,23.4422,boiled_enzyme
48h,DH_DEET,18.648099999999999,boiled_enzyme
0h,DH_3MB,0,boiled_enzyme
3h,DH_3MB,0,boiled_enzyme
5h,DH_3MB,0,boiled_enzyme
24h,DH_3MB,0,boiled_enzyme
48h,DH_3MB,0,boiled_enzyme
0h,DH_MB,15.374000000000001,boiled_enzyme
3h,DH_MB,15.920999999999999,boiled_enzyme
5h,DH_MB,15.5375,boiled_enzyme
24h,DH_MB,15.829599999999999,boiled_enzyme
48h,DH_MB,18.963100000000001,boiled_enzyme
0h,DH_B,0,boiled_enzyme
3h,DH_B,0,boiled_enzyme
5h,DH_B,0,boiled_enzyme
24h,DH_B,0,boiled_enzyme
48h,DH_B,0,boiled_enzyme
0h,DH_DEET,22.095500000000001,boiled_enzyme
3h,DH_DEET,22.554400000000001,boiled_enzyme
5h,DH_DEET,22.995200000000001,boiled_enzyme
24h,DH_DEET,18.538900000000002,boiled_enzyme
48h,DH_DEET,21.194600000000001,boiled_enzyme
0h,DH_3MB,0,boiled_enzyme
3h,DH_3MB,0,boiled_enzyme
5h,DH_3MB,0,boiled_enzyme
24h,DH_3MB,0,boiled_enzyme
48h,DH_3MB,0,boiled_enzyme
0h,DH_MB,12.6496,boiled_enzyme
3h,DH_MB,15.2392,boiled_enzyme
5h,DH_MB,14.861599999999999,boiled_enzyme
24h,DH_MB,15.6004,boiled_enzyme
48h,DH_MB,15.024900000000001,boiled_enzyme
0h,DH_B,0,boiled_enzyme
3h,DH_B,0,boiled_enzyme
5h,DH_B,0,boiled_enzyme
24h,DH_B,0,boiled_enzyme
48h,DH_B,0,boiled_enzyme
