filename,qseqid,qlen,saccver,pident,qcovs,length,evalue,bitscore,parsed_nams,manually_edited_nams,samp,Experiment,Sample_type,Sample_name,Time,DNA_ng_µL (nanodrop),Extraction_kit,Volume stored in DD >10µL,Volume available µL,Novogene Amount required 200ng,suspected low amount,Novogene metagenomics requirements: 10 ng/uL and 200 ng amount,counts,n,gene_prop
data/blast_output_non_GG/output//C162__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_495281_15,26.72,97,711,5e-41,163,DEEThydrolase,DEET hydrolase,C162,2,Wastewater,BT_WW_DNA_D04,D04,703.63,Dneasy PowerBiofilm (QIAGEN),ok,NA,10554.45,NA,NA,1127844,104,0.009221133419160806
data/blast_output_non_GG/output//C141__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1158403_2,27.05,95,695,1e-40,162,DEEThydrolase,DEET hydrolase,C141,2,Biofilm,WW30_R1_DNA_D29,Day29,289.48,Dneasy PowerBiofilm (QIAGEN),ok,NA,4342.200000000001,NA,NA,1386999,117,0.008435478324065122
data/blast_output_non_GG/output//C167__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_35672_36,26.76,95,695,5e-40,160,DEEThydrolase,DEET hydrolase,C167,2,Wastewater,BT_WW_DNA_D16,D16,385.3,Dneasy PowerBiofilm (QIAGEN),ok,NA,5779.5,NA,NA,1775328,152,0.008561798157861534
data/blast_output_non_GG/output//C168__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_397235_39,26.76,95,695,5e-40,160,DEEThydrolase,DEET hydrolase,C168,2,Wastewater,BT_WW_DNA_D18,D18,405.21,Dneasy PowerBiofilm (QIAGEN),ok,NA,6078.15,NA,NA,1747742,161,0.00921188596486209
data/blast_output_non_GG/output//C172__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_41814_39,26.76,95,695,5e-40,160,DEEThydrolase,DEET hydrolase,C172,2,Wastewater,BT_WW_DNA_D28,D28,441.08,Dneasy PowerBiofilm (QIAGEN),ok,NA,6616.2,NA,NA,1557121,167,0.010724921184673511
data/blast_output_non_GG/output//C168__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_787426_3,29.27,92,673,2.9999999999999996e-42,167,DEEThydrolase,DEET hydrolase,C168,2,Wastewater,BT_WW_DNA_D18,D18,405.21,Dneasy PowerBiofilm (QIAGEN),ok,NA,6078.15,NA,NA,1747742,161,0.00921188596486209
data/blast_output_non_GG/output//C172__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_828271_8,29.42,92,673,5e-42,167,DEEThydrolase,DEET hydrolase,C172,2,Wastewater,BT_WW_DNA_D28,D28,441.08,Dneasy PowerBiofilm (QIAGEN),ok,NA,6616.2,NA,NA,1557121,167,0.010724921184673511
data/blast_output_non_GG/output//C168__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1422006_9,29.36,92,671,1e-46,180,DEEThydrolase,DEET hydrolase,C168,2,Wastewater,BT_WW_DNA_D18,D18,405.21,Dneasy PowerBiofilm (QIAGEN),ok,NA,6078.15,NA,NA,1747742,161,0.00921188596486209
data/blast_output_non_GG/output//C142__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_997433_2,28.46,91,664,1e-40,162,DEEThydrolase,DEET hydrolase,C142,2,Biofilm,WW80_R1_DNA_D29,Day29,198.57,Dneasy PowerBiofilm (QIAGEN),ok,NA,2978.5499999999997,NA,NA,1930487,135,0.006993054084280288
data/blast_output_non_GG/output//C151__Megahit.db_hits.out,ABO15581_DEEThydrolase_Pseudomonasputida,624,k121_1294336_1,28.77,91,664,1e-40,162,DEEThydrolase,DEET hydrolase,C151,2,Biofilm,WW30_R3_DNA_D29,Day29,174.86,Dneasy PowerBiofilm (QIAGEN),ok,NA,2622.9,NA,NA,1592879,105,0.00659183779810017
